line_item_id,transaction_id,product_id,promotion_id,quantity,line_item_amount,reject_reason
880,272.0,P52,3.0,-1,-648.15,negative_quantity;negative_line_item_amount
882,274.0,P20,,-1,-1985.36,negative_quantity;negative_line_item_amount
885,276.0,INVALID_P,1.0,-1,-1159.06,negative_quantity;negative_line_item_amount
892,278.0,P29,1.0,-1,-3779.3,negative_quantity;negative_line_item_amount
896,279.0,P55,1.0,-1,-4053.2,negative_quantity;negative_line_item_amount
906,283.0,P72,,-1,-3800.8,negative_quantity;negative_line_item_amount
911,286.0,P55,,-1,-4053.2,negative_quantity;negative_line_item_amount
914,286.0,P5,1.0,-1,-3750.45,negative_quantity;negative_line_item_amount
951,297.0,P59,,-1,-485.91,negative_quantity;negative_line_item_amount
958,301.0,INVALID_P,,-1,-281.32,negative_quantity;negative_line_item_amount
992,314.0,P38,,-1,-3833.61,negative_quantity;negative_line_item_amount
999,316.0,P76,4.0,-1,-3391.27,negative_quantity;negative_line_item_amount
1000,316.0,P26,,-1,-3433.39,negative_quantity;negative_line_item_amount
1029,322.0,P70,2.0,-1,-4825.38,negative_quantity;negative_line_item_amount
1063,329.0,P32,,-1,-1538.15,negative_quantity;negative_line_item_amount
1071,332.0,P47,,-1,-4772.15,negative_quantity;negative_line_item_amount
1110,340.0,P11,,-1,-4986.9,negative_quantity;negative_line_item_amount
1117,343.0,P41,,-1,-3163.97,negative_quantity;negative_line_item_amount
1119,343.0,P20,,-1,-1985.36,negative_quantity;negative_line_item_amount
1138,347.0,P57,,-1,-1280.27,negative_quantity;negative_line_item_amount
1139,348.0,P50,,-1,-3034.83,negative_quantity;negative_line_item_amount
1149,352.0,P26,4.0,-1,-3433.39,negative_quantity;negative_line_item_amount
1155,355.0,P62,,-1,-4892.12,negative_quantity;negative_line_item_amount
1158,356.0,P29,5.0,-1,-3779.3,negative_quantity;negative_line_item_amount
1161,357.0,P26,5.0,-1,-3433.39,negative_quantity;negative_line_item_amount
1179,363.0,P34,,-1,-115.9,negative_quantity;negative_line_item_amount
1193,367.0,P13,3.0,-1,-2518.23,negative_quantity;negative_line_item_amount
1217,376.0,P43,1.0,-1,-2587.55,negative_quantity;negative_line_item_amount
1230,379.0,P9,1.0,-1,-2959.31,negative_quantity;negative_line_item_amount
1238,383.0,P55,,-1,-4053.2,negative_quantity;negative_line_item_amount
1251,385.0,P31,2.0,-1,-1766.86,negative_quantity;negative_line_item_amount
1279,394.0,P69,,-1,-3072.31,negative_quantity;negative_line_item_amount
1280,394.0,P71,,-1,-4651.68,negative_quantity;negative_line_item_amount
1288,396.0,INVALID_P,,-1,-14437.33,negative_quantity;negative_line_item_amount
1289,396.0,P21,,-1,-3019.85,negative_quantity;negative_line_item_amount
1291,397.0,P61,,-1,-4098.51,negative_quantity;negative_line_item_amount
1292,398.0,P49,,-1,-4600.62,negative_quantity;negative_line_item_amount
1301,400.0,P65,,-1,-33327.8,negative_quantity;negative_line_item_amount
1312,403.0,P38,,-1,-3833.61,negative_quantity;negative_line_item_amount
1320,405.0,P10,5.0,-1,-1873.78,negative_quantity;negative_line_item_amount
1321,405.0,P21,,-1,-3019.85,negative_quantity;negative_line_item_amount
1326,407.0,P34,,-1,-115.9,negative_quantity;negative_line_item_amount
1341,411.0,P55,5.0,-1,-4053.2,negative_quantity;negative_line_item_amount
1355,415.0,P6,,-1,-2740.99,negative_quantity;negative_line_item_amount
1359,418.0,P70,,-1,-48253.8,negative_quantity;negative_line_item_amount
1393,428.0,P73,,-1,-3480.35,negative_quantity;negative_line_item_amount
1394,428.0,P47,,-1,-4772.15,negative_quantity;negative_line_item_amount
1403,431.0,P77,4.0,-1,-1929.76,negative_quantity;negative_line_item_amount
1409,433.0,P77,,-1,-1929.76,negative_quantity;negative_line_item_amount
1436,440.0,P52,,-1,-648.15,negative_quantity;negative_line_item_amount
1461,449.0,P76,1.0,-1,-3391.27,negative_quantity;negative_line_item_amount
1465,449.0,P5,3.0,-1,-3750.45,negative_quantity;negative_line_item_amount
1514,463.0,P15,4.0,-1,-4319.4,negative_quantity;negative_line_item_amount
1523,467.0,P70,5.0,-1,-4825.38,negative_quantity;negative_line_item_amount
1529,467.0,P16,,-1,-848.92,negative_quantity;negative_line_item_amount
1548,472.0,P57,,-1,-1280.27,negative_quantity;negative_line_item_amount
1561,474.0,P30,1.0,-1,-3866.13,negative_quantity;negative_line_item_amount
1568,476.0,P1,2.0,-1,-4434.95,negative_quantity;negative_line_item_amount
1570,476.0,P9,4.0,-1,-2959.31,negative_quantity;negative_line_item_amount
1594,483.0,P74,,-1,-3593.45,negative_quantity;negative_line_item_amount
1610,488.0,P29,,-1,-3779.3,negative_quantity;negative_line_item_amount
1612,488.0,P1,,-1,-4434.95,negative_quantity;negative_line_item_amount
1615,490.0,P35,5.0,-1,-3638.25,negative_quantity;negative_line_item_amount
1619,491.0,P46,,-1,-891.59,negative_quantity;negative_line_item_amount
1622,492.0,P35,2.0,-1,-3638.25,negative_quantity;negative_line_item_amount
1657,502.0,P77,4.0,-1,-1929.76,negative_quantity;negative_line_item_amount
1674,508.0,P47,3.0,-1,-4772.15,negative_quantity;negative_line_item_amount
1681,510.0,P35,,-1,-3638.25,negative_quantity;negative_line_item_amount
1689,513.0,P71,,-1,-4651.68,negative_quantity;negative_line_item_amount
1697,519.0,P70,,-1,-4825.38,negative_quantity;negative_line_item_amount
1700,520.0,P63,,-1,-2710.26,negative_quantity;negative_line_item_amount
1721,526.0,P29,,-1,-3779.3,negative_quantity;negative_line_item_amount
1729,529.0,P57,5.0,-1,-1280.27,negative_quantity;negative_line_item_amount
1736,531.0,P75,,-1,-2055.06,negative_quantity;negative_line_item_amount
1747,533.0,P5,,-1,-3750.45,negative_quantity;negative_line_item_amount
1758,535.0,P63,2.0,-1,-2710.26,negative_quantity;negative_line_item_amount
1759,535.0,P70,5.0,-1,-4825.38,negative_quantity;negative_line_item_amount
1763,536.0,P68,,-1,-2685.6,negative_quantity;negative_line_item_amount
1771,541.0,P47,,-1,-4772.15,negative_quantity;negative_line_item_amount
1787,545.0,P25,,-1,-4717.91,negative_quantity;negative_line_item_amount
1790,546.0,P19,,-1,-3022.4,negative_quantity;negative_line_item_amount
1816,552.0,P47,3.0,-1,-4772.15,negative_quantity;negative_line_item_amount
1849,560.0,P71,3.0,-1,-4651.68,negative_quantity;negative_line_item_amount
1863,564.0,P24,,-1,-2810.81,negative_quantity;negative_line_item_amount
1864,565.0,P30,4.0,-1,-3866.13,negative_quantity;negative_line_item_amount
1879,568.0,P60,5.0,-1,-3686.35,negative_quantity;negative_line_item_amount
1892,574.0,P1,,-1,-4434.95,negative_quantity;negative_line_item_amount
1909,578.0,INVALID_P,,-1,-3931.05,negative_quantity;negative_line_item_amount
1917,581.0,P2,4.0,-1,-3249.97,negative_quantity;negative_line_item_amount
1920,582.0,P77,1.0,-1,-1929.76,negative_quantity;negative_line_item_amount
1956,592.0,P71,5.0,-1,-4651.68,negative_quantity;negative_line_item_amount
1958,592.0,P15,,-1,-4319.4,negative_quantity;negative_line_item_amount
1964,595.0,P16,,-1,-848.92,negative_quantity;negative_line_item_amount
1967,596.0,P52,2.0,-1,-648.15,negative_quantity;negative_line_item_amount
1985,602.0,P48,1.0,-1,-4619.93,negative_quantity;negative_line_item_amount
1990,605.0,P76,,-1,-3391.27,negative_quantity;negative_line_item_amount
2030,616.0,P47,,-1,-4772.15,negative_quantity;negative_line_item_amount
2053,623.0,P40,,-1,-621.41,negative_quantity;negative_line_item_amount
2055,623.0,P10,1.0,-1,-18737.8,negative_quantity;negative_line_item_amount
2058,623.0,P15,,-1,-4319.4,negative_quantity;negative_line_item_amount
2066,626.0,P5,5.0,-1,-3750.45,negative_quantity;negative_line_item_amount
2097,631.0,P11,3.0,-1,-4986.9,negative_quantity;negative_line_item_amount
2104,635.0,INVALID_P,1.0,-1,-993.04,negative_quantity;negative_line_item_amount
2109,636.0,P10,2.0,-1,-1873.78,negative_quantity;negative_line_item_amount
2124,639.0,P56,,-1,-1273.32,negative_quantity;negative_line_item_amount
2129,641.0,P32,4.0,-1,-1538.15,negative_quantity;negative_line_item_amount
2131,641.0,P38,1.0,-1,-3833.61,negative_quantity;negative_line_item_amount
2136,641.0,P48,,-1,-4619.93,negative_quantity;negative_line_item_amount
2137,642.0,P41,3.0,-1,-3163.97,negative_quantity;negative_line_item_amount
2148,644.0,P72,,-1,-3800.8,negative_quantity;negative_line_item_amount
2149,645.0,P15,4.0,-1,-4319.4,negative_quantity;negative_line_item_amount
2169,653.0,P26,,-1,-3433.39,negative_quantity;negative_line_item_amount
2182,654.0,P30,,-1,-3866.13,negative_quantity;negative_line_item_amount
2190,656.0,INVALID_P,,-1,-425.84,negative_quantity;negative_line_item_amount
2191,657.0,P37,,-1,-4862.25,negative_quantity;negative_line_item_amount
2200,659.0,P49,,-1,-4600.62,negative_quantity;negative_line_item_amount
2203,661.0,P64,,-1,-716.23,negative_quantity;negative_line_item_amount
2207,662.0,P46,,-1,-891.59,negative_quantity;negative_line_item_amount
2211,663.0,P6,,-1,-2740.99,negative_quantity;negative_line_item_amount
2218,666.0,P74,,-1,-3593.45,negative_quantity;negative_line_item_amount
2221,666.0,P18,,-1,-3434.36,negative_quantity;negative_line_item_amount
2236,670.0,P54,5.0,-1,-4928.07,negative_quantity;negative_line_item_amount
2257,678.0,P55,5.0,-1,-4053.2,negative_quantity;negative_line_item_amount
2278,684.0,P7,,-1,-3760.37,negative_quantity;negative_line_item_amount
2280,685.0,P71,,-1,-4651.68,negative_quantity;negative_line_item_amount
2294,692.0,P74,,-1,-3593.45,negative_quantity;negative_line_item_amount
2295,692.0,P70,,-1,-4825.38,negative_quantity;negative_line_item_amount
2296,692.0,P30,2.0,-1,-3866.13,negative_quantity;negative_line_item_amount
2299,693.0,P12,,-1,-777.83,negative_quantity;negative_line_item_amount
2311,697.0,P69,,-1,-3072.31,negative_quantity;negative_line_item_amount
2335,702.0,P48,2.0,-1,-4619.93,negative_quantity;negative_line_item_amount
2350,705.0,P36,,-1,-3626.44,negative_quantity;negative_line_item_amount
2376,711.0,P52,,-1,-648.15,negative_quantity;negative_line_item_amount
2392,714.0,P42,1.0,-1,-4224.18,negative_quantity;negative_line_item_amount
2405,718.0,P42,,-1,-4224.18,negative_quantity;negative_line_item_amount
2418,723.0,P50,,-1,-3034.83,negative_quantity;negative_line_item_amount
2433,727.0,P60,,-1,-3686.35,negative_quantity;negative_line_item_amount
2457,733.0,P7,3.0,-1,-3760.37,negative_quantity;negative_line_item_amount
2460,734.0,P4,1.0,-1,-784.19,negative_quantity;negative_line_item_amount
2467,737.0,P69,4.0,-1,-3072.31,negative_quantity;negative_line_item_amount
2474,740.0,P76,,-1,-3391.27,negative_quantity;negative_line_item_amount
2483,743.0,P70,2.0,-1,-4825.38,negative_quantity;negative_line_item_amount
2491,745.0,P13,,-1,-2518.23,negative_quantity;negative_line_item_amount
2527,756.0,P64,,-1,-716.23,negative_quantity;negative_line_item_amount
2534,757.0,P44,1.0,-1,-1074.66,negative_quantity;negative_line_item_amount
2537,759.0,P68,3.0,-1,-2685.6,negative_quantity;negative_line_item_amount
2548,761.0,P23,,-1,-1331.93,negative_quantity;negative_line_item_amount
2549,761.0,P51,,-1,-2494.17,negative_quantity;negative_line_item_amount
2550,761.0,P38,,-1,-3833.61,negative_quantity;negative_line_item_amount
2554,762.0,P29,,-1,-3779.3,negative_quantity;negative_line_item_amount
2563,766.0,P4,,-1,-784.19,negative_quantity;negative_line_item_amount
2570,769.0,P49,4.0,-1,-4600.62,negative_quantity;negative_line_item_amount
2571,769.0,P16,,-1,-848.92,negative_quantity;negative_line_item_amount
2587,772.0,P41,,-1,-3163.97,negative_quantity;negative_line_item_amount
2597,774.0,P72,,-1,-3800.8,negative_quantity;negative_line_item_amount
2609,775.0,P30,5.0,-1,-3866.13,negative_quantity;negative_line_item_amount
2612,776.0,P38,,-1,-3833.61,negative_quantity;negative_line_item_amount
2648,785.0,P55,3.0,-1,-4053.2,negative_quantity;negative_line_item_amount
2661,789.0,P6,,-1,-2740.99,negative_quantity;negative_line_item_amount
2662,789.0,P54,,-1,-4928.07,negative_quantity;negative_line_item_amount
2674,792.0,P78,4.0,-1,-4508.11,negative_quantity;negative_line_item_amount
2683,795.0,P42,4.0,-1,-4224.18,negative_quantity;negative_line_item_amount
2687,797.0,P60,,-1,-3686.35,negative_quantity;negative_line_item_amount
2693,797.0,P21,,-1,-3019.85,negative_quantity;negative_line_item_amount
2701,800.0,P18,,-1,-3434.36,negative_quantity;negative_line_item_amount
2707,801.0,P49,,-1,-4600.62,negative_quantity;negative_line_item_amount
2718,804.0,P62,,-1,-4892.12,negative_quantity;negative_line_item_amount
2743,810.0,P38,,-1,-3833.61,negative_quantity;negative_line_item_amount
2745,810.0,INVALID_P,,-1,-598.63,negative_quantity;negative_line_item_amount
2775,817.0,P21,,-1,-3019.85,negative_quantity;negative_line_item_amount
2792,819.0,P61,,-1,-4098.51,negative_quantity;negative_line_item_amount
2795,820.0,P21,,-1,-3019.85,negative_quantity;negative_line_item_amount
2823,830.0,P8,,-1,-2199.33,negative_quantity;negative_line_item_amount
2824,830.0,P62,1.0,-1,-4892.12,negative_quantity;negative_line_item_amount
2828,830.0,P42,,-1,-4224.18,negative_quantity;negative_line_item_amount
2837,832.0,P73,,-1,-3480.35,negative_quantity;negative_line_item_amount
2845,834.0,P32,,-1,-1538.15,negative_quantity;negative_line_item_amount
2866,846.0,P45,1.0,-1,-1932.18,negative_quantity;negative_line_item_amount
2869,846.0,P69,,-1,-3072.31,negative_quantity;negative_line_item_amount
2902,858.0,P5,4.0,-1,-3750.45,negative_quantity;negative_line_item_amount
2918,864.0,P70,,-1,-4825.38,negative_quantity;negative_line_item_amount
2924,865.0,P7,2.0,-1,-3760.37,negative_quantity;negative_line_item_amount
2937,867.0,P22,,-1,-2393.44,negative_quantity;negative_line_item_amount
2945,868.0,P24,,-1,-2810.81,negative_quantity;negative_line_item_amount
2954,870.0,P52,,-1,-648.15,negative_quantity;negative_line_item_amount
2961,873.0,P22,3.0,-1,-2393.44,negative_quantity;negative_line_item_amount
2968,874.0,P16,,-1,-848.92,negative_quantity;negative_line_item_amount
3003,885.0,P55,4.0,-1,-4053.2,negative_quantity;negative_line_item_amount
3011,888.0,P67,,-1,-909.12,negative_quantity;negative_line_item_amount
3030,894.0,P34,2.0,-1,-115.9,negative_quantity;negative_line_item_amount
3041,897.0,P44,,-1,-1074.66,negative_quantity;negative_line_item_amount
3049,898.0,P31,5.0,-1,-1766.86,negative_quantity;negative_line_item_amount
3054,899.0,P8,,-1,-2199.33,negative_quantity;negative_line_item_amount
3061,900.0,P47,,-1,-4772.15,negative_quantity;negative_line_item_amount
3077,905.0,P57,5.0,-1,-1280.27,negative_quantity;negative_line_item_amount
3112,914.0,P57,,-1,-1280.27,negative_quantity;negative_line_item_amount
3141,922.0,P78,,-1,-4508.11,negative_quantity;negative_line_item_amount
3184,936.0,P77,,-1,-1929.76,negative_quantity;negative_line_item_amount
3186,936.0,P18,,-1,-3434.36,negative_quantity;negative_line_item_amount
3197,939.0,P26,,-1,-3433.39,negative_quantity;negative_line_item_amount
3222,951.0,P47,,-1,-4772.15,negative_quantity;negative_line_item_amount
3232,954.0,P50,,-1,-3034.83,negative_quantity;negative_line_item_amount
3244,958.0,P33,2.0,-1,-874.97,negative_quantity;negative_line_item_amount
3249,960.0,P69,2.0,-1,-3072.31,negative_quantity;negative_line_item_amount
3252,961.0,P70,3.0,-1,-4825.38,negative_quantity;negative_line_item_amount
3258,961.0,P5,,-1,-3750.45,negative_quantity;negative_line_item_amount
3264,963.0,P52,2.0,-1,-648.15,negative_quantity;negative_line_item_amount
3285,970.0,P26,4.0,-1,-3433.39,negative_quantity;negative_line_item_amount
3291,972.0,P44,,-1,-1074.66,negative_quantity;negative_line_item_amount
3304,973.0,P24,,-1,-2810.81,negative_quantity;negative_line_item_amount
3321,977.0,P43,,-1,-2587.55,negative_quantity;negative_line_item_amount
3334,982.0,P70,3.0,-1,-4825.38,negative_quantity;negative_line_item_amount
3343,984.0,P67,1.0,-1,-909.12,negative_quantity;negative_line_item_amount
3359,988.0,P56,,-1,-1273.32,negative_quantity;negative_line_item_amount
3366,990.0,P22,,-1,-2393.44,negative_quantity;negative_line_item_amount
3375,993.0,P65,,-1,-33327.8,negative_quantity;negative_line_item_amount
3400,1002.0,P3,1.0,-1,-800.07,negative_quantity;negative_line_item_amount
3433,1011.0,P68,2.0,-1,-2685.6,negative_quantity;negative_line_item_amount
3452,1017.0,P48,,-1,-4619.93,negative_quantity;negative_line_item_amount
3474,1024.0,P6,5.0,-1,-2740.99,negative_quantity;negative_line_item_amount
3506,1036.0,P10,,-1,-1873.78,negative_quantity;negative_line_item_amount
3512,1038.0,P1,,-1,-4434.95,negative_quantity;negative_line_item_amount
3531,1045.0,P32,,-1,-15381.5,negative_quantity;negative_line_item_amount
3560,1057.0,P55,,-1,-4053.2,negative_quantity;negative_line_item_amount
3561,1057.0,P32,,-1,-1538.15,negative_quantity;negative_line_item_amount
3567,1059.0,P67,,-1,-909.12,negative_quantity;negative_line_item_amount
3569,1060.0,P49,,-1,-4600.62,negative_quantity;negative_line_item_amount
3592,1068.0,P66,3.0,-1,-4739.56,negative_quantity;negative_line_item_amount
3594,1070.0,P34,5.0,-1,-115.9,negative_quantity;negative_line_item_amount
3618,1076.0,P40,,-1,-621.41,negative_quantity;negative_line_item_amount
3620,1077.0,P77,,-1,-1929.76,negative_quantity;negative_line_item_amount
3634,1080.0,P42,,-1,-4224.18,negative_quantity;negative_line_item_amount
3636,1080.0,P56,,-1,-1273.32,negative_quantity;negative_line_item_amount
3661,1088.0,P30,4.0,-1,-3866.13,negative_quantity;negative_line_item_amount
3662,1088.0,P12,,-1,-777.83,negative_quantity;negative_line_item_amount
3706,1099.0,P13,3.0,-1,-2518.23,negative_quantity;negative_line_item_amount
3720,1103.0,P71,3.0,-1,-4651.68,negative_quantity;negative_line_item_amount
3721,1103.0,P69,,-1,-3072.31,negative_quantity;negative_line_item_amount
3731,1106.0,P72,,-1,-3800.8,negative_quantity;negative_line_item_amount
3744,1110.0,P67,,-1,-909.12,negative_quantity;negative_line_item_amount
3760,1114.0,P35,,-1,-3638.25,negative_quantity;negative_line_item_amount
3774,1118.0,P38,,-1,-3833.61,negative_quantity;negative_line_item_amount
3788,1122.0,P60,1.0,-1,-3686.35,negative_quantity;negative_line_item_amount
3815,1129.0,P48,,-1,-4619.93,negative_quantity;negative_line_item_amount
3823,1131.0,P41,2.0,-1,-3163.97,negative_quantity;negative_line_item_amount
3839,1135.0,P56,2.0,-1,-1273.32,negative_quantity;negative_line_item_amount
3902,1152.0,P1,,-1,-4434.95,negative_quantity;negative_line_item_amount
3910,1155.0,P34,,-1,-115.9,negative_quantity;negative_line_item_amount
3915,1156.0,P25,1.0,-1,-4717.91,negative_quantity;negative_line_item_amount
3922,1157.0,P72,4.0,-1,-3800.8,negative_quantity;negative_line_item_amount
3938,1163.0,P2,,-1,-3249.97,negative_quantity;negative_line_item_amount
3956,1168.0,P2,4.0,-1,-3249.97,negative_quantity;negative_line_item_amount
3961,1170.0,P12,,-1,-777.83,negative_quantity;negative_line_item_amount
3962,1170.0,P44,,-1,-1074.66,negative_quantity;negative_line_item_amount
3995,1180.0,P14,,-1,-3803.33,negative_quantity;negative_line_item_amount
4006,1185.0,P72,,-1,-3800.8,negative_quantity;negative_line_item_amount
4012,1186.0,P4,2.0,-1,-784.19,negative_quantity;negative_line_item_amount
4023,1190.0,P78,,-1,-4508.11,negative_quantity;negative_line_item_amount
4028,1191.0,P11,,-1,-4986.9,negative_quantity;negative_line_item_amount
4031,1192.0,P63,4.0,-1,-2710.26,negative_quantity;negative_line_item_amount
4037,1193.0,P35,5.0,-1,-3638.25,negative_quantity;negative_line_item_amount
4047,1194.0,P13,,-1,-2518.23,negative_quantity;negative_line_item_amount
4068,1202.0,P75,,-1,-2055.06,negative_quantity;negative_line_item_amount
4072,1204.0,P68,4.0,-1,-2685.6,negative_quantity;negative_line_item_amount
4073,1204.0,P56,4.0,-1,-1273.32,negative_quantity;negative_line_item_amount
4092,1208.0,P74,3.0,-1,-3593.45,negative_quantity;negative_line_item_amount
4099,1211.0,P8,5.0,-1,-2199.33,negative_quantity;negative_line_item_amount
4118,1217.0,P62,1.0,-1,-4892.12,negative_quantity;negative_line_item_amount
4122,1218.0,P23,,-1,-1331.93,negative_quantity;negative_line_item_amount
4123,1219.0,P69,,-1,-3072.31,negative_quantity;negative_line_item_amount
4130,1219.0,P21,3.0,-1,-3019.85,negative_quantity;negative_line_item_amount
4135,1221.0,P31,1.0,-1,-1766.86,negative_quantity;negative_line_item_amount
4146,1226.0,P29,2.0,-1,-3779.3,negative_quantity;negative_line_item_amount
4150,1227.0,P6,,-1,-2740.99,negative_quantity;negative_line_item_amount
4158,1229.0,P47,3.0,-1,-4772.15,negative_quantity;negative_line_item_amount
4181,1238.0,P54,,-1,-4928.07,negative_quantity;negative_line_item_amount
4182,1238.0,P15,,-1,-4319.4,negative_quantity;negative_line_item_amount
4191,1239.0,P55,,-1,-4053.2,negative_quantity;negative_line_item_amount
4198,1240.0,P61,,-1,-4098.51,negative_quantity;negative_line_item_amount
4229,1250.0,P32,,-1,-1538.15,negative_quantity;negative_line_item_amount
4237,1253.0,P61,1.0,-1,-4098.51,negative_quantity;negative_line_item_amount
4257,1258.0,P71,,-1,-4651.68,negative_quantity;negative_line_item_amount
4279,1265.0,P58,,-1,-2880.05,negative_quantity;negative_line_item_amount
4280,1265.0,P18,,-1,-3434.36,negative_quantity;negative_line_item_amount
4285,1266.0,P78,,-1,-4508.11,negative_quantity;negative_line_item_amount
4287,1266.0,P71,,-1,-4651.68,negative_quantity;negative_line_item_amount
4307,1271.0,P73,5.0,-1,-3480.35,negative_quantity;negative_line_item_amount
4333,1277.0,P78,,-1,-4508.11,negative_quantity;negative_line_item_amount
4334,1278.0,P4,4.0,-1,-784.19,negative_quantity;negative_line_item_amount
4340,1280.0,P28,5.0,-1,-4435.46,negative_quantity;negative_line_item_amount
4363,1287.0,P61,,-1,-4098.51,negative_quantity;negative_line_item_amount
