line_item_id,transaction_id,product_id,promotion_id,quantity,line_item_amount
100,36.0,P55,3.0,2,8106.4
101,37.0,P30,,4,154645.2
102,37.0,INVALID_P,,5,17542.13
104,37.0,P42,,2,8448.36
105,38.0,P20,,4,7941.44
106,38.0,P25,,5,23589.55
107,38.0,P77,1.0,1,1929.76
108,39.0,P76,2.0,1,3391.27
109,39.0,P70,,1,4825.38
110,39.0,P67,,4,3636.48
112,39.0,P76,,5,16956.35
113,39.0,P14,,3,11409.99
114,39.0,P43,,4,10350.2
116,40.0,P21,,4,12079.4
117,40.0,P28,4.0,3,13306.38
118,41.0,P20,,4,7941.44
119,41.0,INVALID_P,3.0,2,8615.15
120,41.0,P28,,2,8870.92
121,41.0,P54,1.0,2,9856.14
122,42.0,P9,4.0,4,11837.24
123,43.0,P26,,5,171669.5
124,43.0,INVALID_P,,1,3320.79
125,43.0,P66,3.0,2,9479.12
126,43.0,P35,,5,18191.25
127,44.0,P28,3.0,2,8870.92
128,45.0,P58,,4,11520.2
129,45.0,P58,5.0,3,8640.15
130,46.0,P42,,3,12672.54
131,46.0,P68,1.0,2,5371.2
132,46.0,P29,,2,7558.6
133,46.0,P72,4.0,3,11402.4
134,46.0,P12,,3,2333.49
137,47.0,P68,,2,5371.2
138,47.0,P46,,4,3566.36
139,47.0,P16,,1,848.92
140,47.0,P61,2.0,5,20492.55
141,47.0,P35,,5,18191.25
142,47.0,P49,3.0,3,13801.86
144,47.0,P18,5.0,4,13737.44
146,48.0,P47,3.0,1,4772.15
147,48.0,P11,5.0,4,19947.6
148,49.0,P75,,3,6165.18
149,49.0,P50,,1,3034.83
150,49.0,P14,,4,15213.32
151,49.0,P7,3.0,3,11281.11
152,49.0,P1,,1,4434.95
153,49.0,P36,,3,10879.32
154,50.0,P8,1.0,1,2199.33
156,51.0,P68,5.0,3,8056.8
157,51.0,P20,,1,1985.36
159,52.0,P32,,4,6152.6
161,52.0,P53,,5,9393.05
162,52.0,P61,,5,20492.55
163,52.0,P65,,5,16663.9
164,52.0,P40,1.0,2,1242.82
165,52.0,P71,,4,18606.72
166,53.0,P26,,5,17166.95
167,53.0,P55,,1,4053.2
168,53.0,P14,,5,19016.65
171,53.0,P48,,1,4619.93
172,53.0,P13,,2,5036.46
173,54.0,P45,5.0,3,5796.54
175,54.0,P40,,1,621.41
176,54.0,P69,,1,3072.31
177,54.0,P61,1.0,5,20492.55
178,54.0,P36,,1,3626.44
179,54.0,P27,,3,1983.9
180,54.0,P61,3.0,2,81970.2
181,55.0,P42,,5,21120.9
182,55.0,P48,1.0,5,23099.65
183,55.0,P41,,3,9491.91
184,56.0,P28,,1,4435.46
185,56.0,P20,,5,9926.8
186,56.0,P68,,4,10742.4
187,56.0,P72,,2,7601.6
188,56.0,P33,,3,2624.91
189,56.0,P47,,3,14316.45
190,56.0,P75,,5,10275.3
191,56.0,P49,2.0,5,23003.1
192,57.0,P63,3.0,3,8130.78
193,57.0,P16,5.0,5,4244.6
194,58.0,P2,2.0,3,9749.91
195,58.0,P32,1.0,3,4614.45
196,59.0,P44,,4,4298.64
197,59.0,P22,,2,4786.88
198,59.0,P46,,1,891.59
199,59.0,INVALID_P,5.0,1,3479.77
200,59.0,P14,,2,7606.66
201,59.0,P35,5.0,5,18191.25
202,59.0,P13,,1,2518.23
203,59.0,P46,4.0,4,3566.36
204,60.0,P66,3.0,1,4739.56
205,60.0,P2,3.0,1,3249.97
206,61.0,P57,1.0,5,6401.35
207,61.0,P57,,3,3840.81
208,62.0,P62,1.0,5,24460.6
209,62.0,P17,3.0,4,3535.64
210,62.0,P2,,5,16249.85
211,62.0,P44,,5,5373.3
212,63.0,P16,4.0,5,4244.6
214,63.0,P58,,4,11520.2
215,64.0,P78,,5,22540.55
216,65.0,P47,3.0,4,19088.6
218,65.0,P14,4.0,3,11409.99
219,65.0,P25,,3,14153.73
220,66.0,P5,,5,18752.25
221,66.0,P23,,5,6659.65
222,66.0,P42,,5,21120.9
223,66.0,P49,,3,13801.86
224,67.0,P70,,3,14476.14
225,67.0,P23,,5,6659.65
227,68.0,P33,,2,1749.94
228,68.0,P58,5.0,1,2880.05
229,68.0,P62,,3,14676.36
230,69.0,P57,,2,2560.54
231,69.0,P70,1.0,2,9650.76
232,69.0,P16,2.0,5,4244.6
233,69.0,P26,3.0,1,3433.39
234,69.0,P76,,5,16956.35
235,69.0,P43,,5,12937.75
236,69.0,P63,3.0,4,10841.04
237,70.0,P32,1.0,4,6152.6
238,70.0,P42,,4,16896.72
239,70.0,P45,2.0,3,5796.54
240,71.0,P27,,2,1322.6
241,72.0,P43,,1,2587.55
242,73.0,P71,,1,4651.68
243,73.0,P75,,1,2055.06
244,73.0,P37,2.0,4,19449.0
245,73.0,P36,,5,18132.2
246,73.0,P48,5.0,1,4619.93
247,74.0,P66,2.0,2,9479.12
248,74.0,P73,,1,3480.35
249,74.0,P27,,1,661.3
250,74.0,P78,4.0,2,9016.22
251,74.0,P78,,3,13524.33
252,74.0,P22,,1,2393.44
253,75.0,P42,,4,16896.72
254,75.0,P18,,5,17171.8
255,75.0,P65,1.0,1,3332.78
256,75.0,P68,5.0,5,13428.0
257,76.0,P79,,2,4624.56
258,77.0,P30,,1,3866.13
259,77.0,P50,,4,12139.32
260,78.0,P54,2.0,3,14784.21
261,78.0,P52,,3,1944.45
262,79.0,P70,4.0,1,4825.38
263,79.0,P67,5.0,2,1818.24
264,80.0,P67,,4,3636.48
265,80.0,P37,,1,4862.25
266,80.0,P55,,5,20266.0
267,80.0,P16,2.0,3,2546.76
268,80.0,P18,1.0,5,17171.8
269,81.0,INVALID_P,,5,23474.5
271,82.0,P74,,5,17967.25
273,82.0,P56,3.0,5,6366.6
274,82.0,P51,5.0,2,4988.34
275,83.0,P58,,2,5760.1
276,84.0,P60,,4,14745.4
277,84.0,P52,2.0,5,3240.75
278,85.0,P70,2.0,5,24126.9
279,85.0,P21,5.0,1,3019.85
280,86.0,P41,,2,6327.94
281,86.0,P56,,5,6366.6
282,86.0,P33,,5,4374.85
283,87.0,P21,,1,3019.85
285,88.0,P78,,2,9016.22
286,88.0,P18,1.0,2,6868.72
287,89.0,P47,2.0,4,19088.6
288,89.0,P66,,3,14218.68
289,89.0,P68,1.0,1,2685.6
290,89.0,INVALID_P,5.0,3,3398.06
291,90.0,P55,,2,8106.4
292,90.0,P67,,2,1818.24
293,90.0,P72,,4,15203.2
294,91.0,P39,,3,7762.92
295,91.0,P41,3.0,4,12655.88
297,92.0,P63,,4,10841.04
298,92.0,P11,,3,14960.7
299,92.0,P30,,2,7732.26
300,93.0,P16,,1,848.92
301,93.0,P27,,2,1322.6
302,93.0,P49,4.0,5,23003.1
303,93.0,P22,1.0,3,7180.32
304,94.0,P63,,2,5420.52
305,94.0,P76,,5,16956.35
306,94.0,P46,,4,35663.6
307,94.0,INVALID_P,,3,13854.7
308,95.0,P56,,4,5093.28
309,95.0,P7,,4,15041.48
310,95.0,P35,1.0,3,10914.75
311,95.0,P29,,1,3779.3
313,95.0,P40,3.0,1,621.41
314,96.0,P19,3.0,1,3022.4
315,97.0,P5,,2,7500.9
316,97.0,P78,,3,13524.33
317,97.0,P13,2.0,3,7554.69
318,97.0,P31,2.0,4,7067.44
319,97.0,P5,1.0,5,18752.25
320,97.0,P61,,1,4098.51
321,98.0,P63,,3,8130.78
322,98.0,P14,4.0,3,11409.99
323,98.0,P16,,5,4244.6
325,99.0,P31,5.0,3,5300.58
326,99.0,P71,5.0,2,9303.36
327,99.0,P6,1.0,2,5481.98
328,99.0,P54,5.0,4,19712.28
329,99.0,P2,,2,6499.94
331,100.0,P34,5.0,2,231.8
332,100.0,P25,,5,23589.55
333,101.0,P41,,5,15819.85
334,101.0,P30,,5,19330.65
335,101.0,P47,,4,19088.6
336,101.0,P45,3.0,2,3864.36
337,102.0,P40,3.0,3,1864.23
338,102.0,P12,,5,3889.15
340,103.0,P13,,2,5036.46
341,103.0,P7,2.0,3,11281.11
342,104.0,P42,,4,16896.72
343,105.0,P44,,4,4298.64
344,105.0,P7,4.0,3,11281.11
345,105.0,P32,3.0,2,3076.3
346,105.0,P57,3.0,5,6401.35
347,106.0,P37,,1,4862.25
348,106.0,P68,,2,5371.2
349,106.0,P19,1.0,1,3022.4
351,107.0,P49,,5,23003.1
352,107.0,P16,2.0,2,1697.84
353,107.0,P40,,3,1864.23
354,107.0,P27,3.0,2,1322.6
355,107.0,P4,2.0,5,3920.95
356,107.0,P49,2.0,5,23003.1
357,108.0,P14,5.0,5,19016.65
358,108.0,P56,5.0,2,2546.64
359,109.0,P39,,4,10350.56
360,109.0,P34,,1,115.9
361,109.0,P79,4.0,2,4624.56
362,109.0,P74,,4,14373.8
364,110.0,P47,,4,19088.6
365,110.0,P41,,4,12655.88
366,110.0,P5,,5,18752.25
367,111.0,P40,3.0,4,2485.64
368,112.0,P67,5.0,5,4545.6
369,113.0,P16,,1,848.92
370,113.0,P62,,5,24460.6
371,113.0,P73,3.0,2,6960.7
372,113.0,P58,5.0,3,8640.15
373,113.0,P2,,4,12999.88
374,113.0,P18,,5,17171.8
375,113.0,P63,2.0,3,8130.78
376,113.0,P46,,1,891.59
377,114.0,P75,4.0,3,6165.18
379,115.0,P70,,3,14476.14
380,116.0,INVALID_P,2.0,3,652.61
382,117.0,P30,,3,11598.39
383,118.0,P69,,4,12289.24
384,118.0,P2,,5,16249.85
385,119.0,P1,,3,13304.85
386,119.0,P60,1.0,1,3686.35
387,120.0,P8,,3,6597.99
388,120.0,P44,,5,5373.3
389,120.0,P30,,2,7732.26
390,120.0,P27,1.0,1,661.3
391,120.0,P77,,1,1929.76
392,120.0,P3,3.0,5,4000.35
393,120.0,P30,5.0,4,15464.52
394,121.0,P33,1.0,1,874.97
395,121.0,P20,,1,1985.36
396,121.0,P58,,5,14400.25
397,122.0,P60,,1,3686.35
398,123.0,P43,4.0,3,7762.65
399,123.0,P37,,3,14586.75
400,123.0,P42,,5,21120.9
401,123.0,P60,5.0,2,7372.7
402,124.0,P74,4.0,4,14373.8
403,124.0,P36,,1,3626.44
404,124.0,P69,,1,3072.31
405,124.0,P1,,2,8869.9
406,124.0,P12,,3,2333.49
407,124.0,P45,,1,1932.18
408,124.0,P8,,3,65979.9
409,124.0,P15,3.0,3,12958.2
410,125.0,P49,,3,13801.86
411,125.0,P6,,1,2740.99
412,126.0,P45,5.0,4,7728.72
413,126.0,P44,,2,2149.32
414,126.0,P2,,5,16249.85
415,126.0,P45,4.0,3,5796.54
416,126.0,P10,1.0,5,9368.9
417,126.0,P45,,4,7728.72
418,126.0,P11,,1,4986.9
419,127.0,P6,3.0,2,5481.98
420,127.0,P26,,1,3433.39
421,127.0,P48,,2,9239.86
422,128.0,P31,,4,7067.44
424,128.0,P69,4.0,2,6144.62
425,128.0,P58,5.0,4,11520.2
426,129.0,P8,,3,6597.99
427,129.0,P76,1.0,2,6782.54
428,129.0,P9,3.0,1,2959.31
429,130.0,P16,,1,848.92
430,130.0,P11,,1,4986.9
431,130.0,P36,1.0,4,14505.76
432,130.0,P2,,4,12999.88
433,130.0,P7,,4,15041.48
434,130.0,P48,,4,18479.72
435,130.0,P7,,1,3760.37
436,131.0,P74,,1,3593.45
437,131.0,P9,,5,14796.55
438,131.0,P68,,3,8056.8
439,132.0,P2,3.0,4,12999.88
440,132.0,P69,,4,12289.24
441,133.0,P3,,1,800.07
442,133.0,P69,5.0,5,15361.55
443,133.0,P7,,1,3760.37
446,134.0,P52,2.0,3,1944.45
447,134.0,P76,,2,6782.54
448,134.0,P71,5.0,2,9303.36
449,135.0,P76,,3,10173.81
450,135.0,P76,,3,10173.81
451,135.0,P16,4.0,4,3395.68
452,136.0,P69,,2,6144.62
453,136.0,P61,,4,16394.04
454,137.0,P69,2.0,2,6144.62
455,138.0,P13,4.0,2,5036.46
456,139.0,P10,2.0,4,7495.12
457,139.0,P50,,1,3034.83
458,140.0,P30,4.0,1,3866.13
459,140.0,P36,5.0,1,3626.44
460,140.0,P50,4.0,2,6069.66
461,140.0,P65,,1,3332.78
462,140.0,P44,,2,2149.32
463,140.0,P32,,3,4614.45
464,140.0,P40,,5,3107.05
465,141.0,P10,,4,7495.12
466,141.0,P74,,5,17967.25
467,141.0,P20,3.0,5,9926.8
468,142.0,P30,,2,7732.26
469,142.0,P27,,2,1322.6
470,143.0,P32,2.0,1,1538.15
471,143.0,P7,2.0,1,3760.37
472,143.0,P69,3.0,1,3072.31
473,144.0,P30,,3,11598.39
474,144.0,P50,3.0,2,6069.66
475,144.0,P7,,2,7520.74
476,145.0,P30,,5,19330.65
477,145.0,P30,,3,11598.39
478,145.0,P1,,4,17739.8
479,145.0,P48,5.0,5,23099.65
480,146.0,P18,3.0,5,17171.8
481,146.0,P20,,5,9926.8
482,146.0,P3,5.0,1,800.07
483,146.0,P59,,3,1457.73
484,147.0,P58,,5,14400.25
485,147.0,P37,,2,9724.5
486,147.0,P67,,5,4545.6
487,148.0,P35,,4,14553.0
488,148.0,P49,,3,13801.86
489,148.0,P63,4.0,4,10841.04
490,148.0,P78,1.0,3,13524.33
491,149.0,P21,,4,12079.4
492,149.0,P21,,2,6039.7
493,149.0,P2,3.0,3,9749.91
494,149.0,P7,,5,18801.85
495,150.0,INVALID_P,,3,7917.11
496,150.0,P33,,1,874.97
497,150.0,P66,,5,23697.8
498,151.0,P40,1.0,5,3107.05
499,151.0,P75,,2,4110.12
501,152.0,P1,,1,4434.95
502,153.0,P66,,5,23697.8
503,153.0,P34,1.0,2,231.8
504,153.0,P65,,4,13331.12
505,154.0,P41,3.0,1,3163.97
506,154.0,P5,,1,3750.45
507,154.0,P58,1.0,2,5760.1
508,155.0,P62,,1,4892.12
509,156.0,P54,,1,4928.07
510,156.0,P76,5.0,3,10173.81
511,157.0,P61,1.0,2,8197.02
512,158.0,P13,,1,2518.23
513,158.0,P61,,4,16394.04
514,158.0,P5,,4,15001.8
515,159.0,P27,,4,2645.2
516,159.0,P74,4.0,4,14373.8
517,159.0,P49,5.0,5,23003.1
518,159.0,P46,,3,2674.77
519,159.0,P55,2.0,3,12159.6
520,159.0,P76,1.0,1,3391.27
522,160.0,P13,5.0,2,5036.46
523,160.0,P38,,2,7667.22
525,160.0,P75,,1,2055.06
526,161.0,P41,,2,6327.94
527,161.0,P1,,5,22174.75
528,161.0,P60,,3,11059.05
529,161.0,P50,3.0,1,3034.83
530,162.0,P21,1.0,3,9059.55
531,162.0,P29,,4,15117.2
533,162.0,P6,3.0,4,10963.96
534,162.0,P53,,3,5635.83
535,163.0,P6,,2,5481.98
536,163.0,P31,4.0,4,7067.44
537,163.0,P67,4.0,1,909.12
538,164.0,P40,,1,621.41
539,164.0,P7,,2,7520.74
540,164.0,P16,,5,4244.6
541,164.0,P26,2.0,3,10300.17
542,165.0,P63,,4,10841.04
543,165.0,P13,,2,5036.46
544,165.0,P42,4.0,4,16896.72
545,166.0,P15,5.0,5,21597.0
546,167.0,P42,,3,12672.54
548,168.0,P77,,3,5789.28
549,168.0,P62,,4,19568.48
550,168.0,P18,,2,6868.72
551,168.0,P55,,2,8106.4
552,169.0,P48,3.0,5,23099.65
553,169.0,P51,1.0,2,4988.34
554,169.0,P5,,3,11251.35
556,170.0,P47,1.0,4,19088.6
557,170.0,P28,,4,17741.84
558,171.0,P16,,3,2546.76
559,171.0,P57,,1,1280.27
560,171.0,P58,,4,11520.2
561,172.0,P29,,2,7558.6
562,172.0,INVALID_P,,5,19287.77
563,172.0,P44,,1,1074.66
564,173.0,P78,1.0,4,18032.44
565,174.0,P37,,3,14586.75
566,174.0,P41,2.0,2,6327.94
567,175.0,P38,3.0,3,11500.83
568,175.0,P44,,4,4298.64
569,175.0,P48,,5,23099.65
570,176.0,P55,3.0,1,4053.2
571,177.0,P38,5.0,1,3833.61
572,178.0,P38,,3,11500.83
573,178.0,P44,1.0,2,2149.32
574,178.0,INVALID_P,,1,3313.42
575,178.0,P78,,4,18032.44
576,178.0,P51,,3,7482.51
577,178.0,P25,,1,4717.91
578,179.0,P8,,2,4398.66
579,179.0,P40,3.0,5,3107.05
580,179.0,P69,,4,12289.24
581,179.0,P29,,1,3779.3
582,180.0,P68,5.0,1,2685.6
583,180.0,P45,3.0,4,7728.72
584,180.0,P66,,2,9479.12
585,180.0,P60,,2,7372.7
586,181.0,P7,4.0,4,15041.48
587,181.0,P64,3.0,3,2148.69
588,181.0,P11,4.0,2,9973.8
589,181.0,P15,,1,4319.4
590,182.0,P5,,4,15001.8
591,182.0,P79,,1,2312.28
592,182.0,P47,,2,9544.3
593,182.0,P20,,3,5956.08
594,182.0,P4,3.0,2,1568.38
595,182.0,P55,,3,12159.6
596,182.0,P18,,4,13737.44
597,182.0,P47,,1,4772.15
599,183.0,P29,3.0,4,15117.2
600,183.0,P2,,3,9749.91
601,183.0,P70,,5,24126.9
602,184.0,P10,,5,9368.9
604,184.0,P65,,1,3332.78
605,185.0,P22,,5,11967.2
606,185.0,P46,,3,2674.77
607,185.0,P67,,2,1818.24
608,185.0,P14,,4,15213.32
609,186.0,P75,,4,8220.24
610,186.0,P54,5.0,2,9856.14
611,186.0,P16,,2,1697.84
612,186.0,P16,5.0,5,4244.6
615,188.0,P40,5.0,4,2485.64
616,188.0,P53,,4,7514.44
617,189.0,P25,,5,23589.55
618,189.0,P67,,2,1818.24
619,189.0,P3,,3,2400.21
621,191.0,P8,1.0,5,10996.65
622,191.0,P55,2.0,3,12159.6
623,191.0,P76,1.0,2,6782.54
625,192.0,P77,,5,9648.8
626,192.0,P69,,4,12289.24
627,192.0,P80,,3,3944.22
628,192.0,P41,,4,12655.88
629,193.0,P28,,5,22177.3
630,193.0,P44,,3,3223.98
631,193.0,P34,1.0,4,463.6
632,193.0,P1,,1,4434.95
633,193.0,P69,4.0,1,3072.31
634,193.0,P46,,4,3566.36
635,193.0,P2,1.0,1,3249.97
636,193.0,P46,,2,1783.18
637,194.0,P76,2.0,4,13565.08
638,194.0,P73,3.0,5,17401.75
639,194.0,P30,5.0,5,19330.65
640,195.0,P7,,3,11281.11
641,195.0,P52,4.0,5,3240.75
642,195.0,P47,,1,4772.15
643,195.0,P29,1.0,4,15117.2
644,195.0,P13,,1,2518.23
645,195.0,P41,3.0,2,6327.94
646,195.0,P35,,1,3638.25
647,195.0,P24,,1,2810.81
650,196.0,P44,5.0,1,1074.66
651,196.0,P76,4.0,2,6782.54
652,196.0,P57,4.0,2,2560.54
653,196.0,P77,3.0,3,5789.28
654,197.0,P63,,1,2710.26
655,197.0,P44,,2,2149.32
656,198.0,INVALID_P,,4,4771.29
657,198.0,P30,1.0,4,15464.52
658,199.0,P26,5.0,2,6866.78
659,200.0,P13,,3,7554.69
660,200.0,P68,2.0,5,13428.0
661,201.0,P2,2.0,5,16249.85
662,201.0,P21,1.0,2,6039.7
663,201.0,P79,,1,2312.28
664,201.0,P45,,4,7728.72
665,201.0,P61,,3,12295.53
666,201.0,P12,,4,3111.32
667,201.0,P32,,3,4614.45
668,201.0,P50,,1,3034.83
669,202.0,P7,,3,11281.11
670,202.0,P21,2.0,2,6039.7
671,203.0,INVALID_P,,5,7837.12
672,203.0,INVALID_P,,5,16525.23
673,203.0,P30,,2,7732.26
674,203.0,P58,,4,11520.2
675,203.0,P54,2.0,2,9856.14
676,203.0,P4,,4,3136.76
677,203.0,P52,2.0,5,3240.75
678,203.0,P43,,5,12937.75
679,204.0,P57,5.0,3,3840.81
680,205.0,P45,4.0,1,1932.18
681,205.0,P8,,2,4398.66
682,205.0,P17,5.0,2,1767.82
683,205.0,P76,2.0,2,6782.54
684,206.0,P67,,1,909.12
685,206.0,P39,5.0,4,10350.56
686,206.0,P59,1.0,4,1943.64
687,206.0,P16,2.0,3,2546.76
688,207.0,P47,,4,19088.6
689,208.0,P41,,1,3163.97
690,208.0,P24,,5,14054.05
691,208.0,P33,4.0,2,1749.94
692,208.0,P3,5.0,3,2400.21
693,208.0,P20,3.0,5,9926.8
695,209.0,P13,,2,5036.46
696,209.0,P76,,2,6782.54
697,210.0,P22,2.0,1,2393.44
698,210.0,P70,,4,19301.52
699,210.0,P22,,3,7180.32
700,210.0,P18,,3,10303.08
701,211.0,P30,,5,19330.65
702,211.0,P40,3.0,2,1242.82
703,211.0,P34,,2,231.8
704,211.0,P57,4.0,3,3840.81
705,211.0,P37,1.0,1,4862.25
706,211.0,P32,,2,3076.3
707,211.0,P59,,1,485.91
708,212.0,P58,,3,8640.15
709,213.0,P16,,4,3395.68
710,213.0,P62,,1,4892.12
711,213.0,P63,3.0,2,5420.52
712,214.0,P1,,1,4434.95
713,214.0,P54,1.0,3,14784.21
714,214.0,P16,,4,3395.68
715,214.0,P45,4.0,5,9660.9
716,215.0,P19,5.0,3,9067.2
717,215.0,P21,5.0,1,3019.85
718,215.0,P11,,5,24934.5
719,215.0,P65,,5,16663.9
720,215.0,P12,2.0,1,777.83
722,215.0,P69,,3,9216.93
723,215.0,P11,1.0,5,24934.5
724,216.0,P22,5.0,1,2393.44
725,217.0,P62,4.0,1,4892.12
726,218.0,P52,,4,2592.6
729,219.0,P58,4.0,2,5760.1
730,219.0,P61,5.0,1,4098.51
731,219.0,P65,,1,3332.78
732,220.0,P11,,1,4986.9
733,220.0,P36,,3,10879.32
734,221.0,P77,,1,1929.76
735,221.0,P77,3.0,5,9648.8
736,222.0,INVALID_P,,4,1612.94
737,222.0,P41,,3,9491.91
739,223.0,P27,,5,3306.5
740,224.0,P34,4.0,2,231.8
741,224.0,P39,,2,5175.28
743,225.0,P16,2.0,5,4244.6
744,225.0,P26,,1,3433.39
745,225.0,P49,4.0,4,18402.48
747,226.0,P49,4.0,1,4600.62
748,226.0,P8,,1,2199.33
749,226.0,P50,,5,15174.15
750,227.0,P48,,2,9239.86
752,227.0,P27,,1,661.3
753,228.0,P5,,1,3750.45
754,228.0,P78,,1,4508.11
755,228.0,P63,,4,10841.04
756,229.0,P27,2.0,2,1322.6
757,230.0,P26,,4,13733.56
758,230.0,P76,,2,6782.54
759,230.0,P14,,3,11409.99
760,230.0,P13,,5,12591.15
761,230.0,P43,2.0,3,7762.65
762,230.0,P13,,1,2518.23
763,231.0,P22,,3,7180.32
764,232.0,P78,,5,22540.55
765,232.0,P76,,3,10173.81
766,233.0,P30,,3,11598.39
767,233.0,P11,3.0,1,4986.9
768,233.0,P44,,1,1074.66
769,233.0,P45,,5,9660.9
770,233.0,P55,,5,20266.0
773,234.0,INVALID_P,,3,9578.29
774,235.0,P3,2.0,5,4000.35
775,235.0,P3,,1,800.07
776,235.0,P59,3.0,1,485.91
777,235.0,P33,,5,4374.85
779,235.0,P54,4.0,4,19712.28
780,236.0,P52,1.0,5,3240.75
781,236.0,INVALID_P,,2,6907.49
782,236.0,P74,,1,3593.45
783,237.0,P55,,2,8106.4
784,237.0,P25,,5,23589.55
785,238.0,P45,,3,5796.54
786,239.0,P32,,3,46144.5
787,239.0,P29,4.0,4,15117.2
788,239.0,INVALID_P,3.0,1,2803.66
789,240.0,P8,,2,4398.66
790,240.0,P25,,2,9435.82
791,240.0,P44,,2,2149.32
792,240.0,P72,,3,11402.4
793,240.0,P38,,5,19168.05
795,240.0,P51,5.0,4,9976.68
796,241.0,P50,,1,3034.83
797,241.0,P29,5.0,2,7558.6
798,242.0,INVALID_P,1.0,2,3605.13
799,243.0,P2,,3,9749.91
800,243.0,P72,5.0,1,3800.8
801,243.0,P57,,2,2560.54
802,244.0,P40,,2,1242.82
803,245.0,P7,5.0,4,15041.48
804,245.0,P1,1.0,5,22174.75
805,245.0,P7,,3,11281.11
806,245.0,P14,4.0,5,19016.65
807,246.0,P41,5.0,5,15819.85
809,247.0,P29,3.0,1,3779.3
810,247.0,P11,,1,4986.9
811,248.0,P44,1.0,3,3223.98
812,249.0,P62,3.0,1,4892.12
813,249.0,P24,,4,11243.24
814,249.0,P43,,2,5175.1
815,249.0,P68,,4,10742.4
816,249.0,P72,,2,76016.0
817,249.0,P68,2.0,4,10742.4
818,250.0,P8,,2,4398.66
820,251.0,P55,,2,8106.4
821,252.0,P76,4.0,1,3391.27
822,253.0,P55,,2,8106.4
824,253.0,P10,1.0,4,7495.12
825,254.0,P27,,2,1322.6
826,254.0,P63,,2,5420.52
828,255.0,P13,,3,7554.69
829,255.0,P67,4.0,4,3636.48
830,256.0,P21,,5,15099.25
831,256.0,P28,4.0,3,13306.38
833,256.0,P19,1.0,3,9067.2
834,257.0,P33,,4,3499.88
